Timer,K_decision,Rejection_Threshold,Final_Error,Converged
1,1,1.0,92.66563229089266,False
1,1,1.5,69.3998023740415,False
1,1,2.0,76.60350690732369,False
1,1,2.5,58.70044226785546,False
1,1,3.0,37.07029840319804,False
1,1,3.5,35.18941625956495,False
1,1,4.0,11.922166245258019,False
1,1,4.5,3.407643250819148e-14,False
1,1,5.0,3.407643250819148e-14,False
1,2,1.0,66.04831647786757,False
1,2,1.5,59.376259145849936,False
1,2,2.0,85.30376629099854,False
1,2,2.5,78.04588762271821,False
1,2,3.0,65.76255157461982,False
1,2,3.5,50.9889146251941,False
1,2,4.0,27.05318713273307,False
1,2,4.5,33.176644404957564,False
1,2,5.0,32.91892737126555,False
1,3,1.0,65.80380978873586,False
1,3,1.5,111.77270682997059,False
1,3,2.0,64.65205874728105,False
1,3,2.5,74.28687578858221,False
1,3,3.0,72.09758063851403,False
1,3,3.5,47.964661857345085,False
1,3,4.0,26.597323759176977,False
1,3,4.5,24.986483746393098,False
1,3,5.0,27.07104874709444,False
1,4,1.0,59.08698680453876,False
1,4,1.5,58.65671013717435,False
1,4,2.0,72.43426404398886,False
1,4,2.5,91.20525975483532,False
1,4,3.0,33.03647156962268,False
1,4,3.5,32.74314555946671,False
1,4,4.0,24.142632098014996,False
1,4,4.5,38.35878778823326,False
1,4,5.0,28.550102679897787,False
2,1,1.0,62.977117511317196,False
2,1,1.5,96.2462880959766,False
2,1,2.0,113.37194436177232,False
2,1,2.5,22.420399320494774,False
2,1,3.0,26.96840929890976,False
2,1,3.5,15.690594690731409,False
2,1,4.0,13.941936602260146,False
2,1,4.5,14.157441630203207,False
2,1,5.0,15.20633099984069,False
2,2,1.0,76.90646189123817,False
2,2,1.5,119.00928383965105,False
2,2,2.0,30.939201077964114,False
2,2,2.5,35.70477908836356,False
2,2,3.0,28.744154942595078,False
2,2,3.5,29.775342299077213,False
2,2,4.0,32.15686835745789,False
2,2,4.5,36.43359372679057,False
2,2,5.0,36.4335937181339,False
2,3,1.0,62.63676663017044,False
2,3,1.5,75.3542053380697,False
2,3,2.0,144.4526297035593,False
2,3,2.5,25.88687721626143,False
2,3,3.0,37.288923379252616,False
2,3,3.5,45.699133913942035,False
2,3,4.0,40.41758339631003,False
2,3,4.5,36.32016573588989,False
2,3,5.0,26.556375010127105,False
2,4,1.0,59.454742585125416,False
2,4,1.5,71.66612293079561,False
2,4,2.0,39.877050955857825,False
2,4,2.5,58.70564528348504,False
2,4,3.0,30.093407866837943,False
2,4,3.5,15.85401050509173,False
2,4,4.0,20.345243113647165,False
2,4,4.5,191.99532459871057,False
2,4,5.0,129.87225273162645,False
3,1,1.0,141.78270479650791,False
3,1,1.5,106.23939530783099,False
3,1,2.0,144.17091258802978,False
3,1,2.5,24.402524895179447,False
3,1,3.0,25.51762039431738,False
3,1,3.5,28.32281964601318,False
3,1,4.0,23.305919366298728,False
3,1,4.5,23.30591936629753,False
3,1,5.0,20.345243113711312,False
3,2,1.0,67.07939411110077,False
