Timer,K_decision,Rejection_Threshold,Final_Error,Converged
1,1,5,320.65246887224856,False
1,1,6,1973.704992021618,False
1,1,7,870.238615670656,False
1,1,8,849.4835380297721,False
1,1,9,625.7226736147024,False
1,1,10,2130.5568751277433,False
1,1,11,1677.016822449695,False
1,1,12,1216.5470996456866,False
1,1,13,1010.7282834048564,False
1,1,14,2947.5867325681006,False
1,2,5,1557.3960851524712,False
1,2,6,1557.3960851524712,False
1,2,7,1557.3960851524712,False
1,2,8,1557.3960851524712,False
1,2,9,1557.3960851524712,False
1,2,10,1557.3960851524712,False
1,2,11,1557.3960851524712,False
1,2,12,1557.3960851524712,False
1,2,13,1557.3960851524712,False
1,2,14,1557.3960851524712,False
1,3,5,1348.667980170884,False
1,3,6,2805.6883827969955,False
1,3,7,333.5337221079469,False
1,3,8,3549.49318769618,False
1,3,9,333.86631003014196,False
1,3,10,196.00572282007442,False
1,3,11,784.012787224079,False
1,3,12,1082.6794460969638,False
1,3,13,364.25199425399023,False
1,3,14,924.7376485263205,False
1,4,5,1557.3960851524712,False
1,4,6,1557.3960851524712,False
1,4,7,1557.3960851524712,False
1,4,8,1557.3960851524712,False
1,4,9,1557.3960851524712,False
1,4,10,1557.3960851524712,False
1,4,11,1557.3960851524712,False
1,4,12,1557.3960851524712,False
1,4,13,1557.3960851524712,False
1,4,14,1557.3960851524712,False
1,5,5,1091.9265372811376,False
1,5,6,241.23770070560028,False
1,5,7,217.7658529648067,False
1,5,8,3284.0874827571365,False
1,5,9,555.8997730637399,False
1,5,10,363.8508922344239,False
1,5,11,1273.887950722505,False
1,5,12,3003.961832372581,False
1,5,13,397.056717428775,False
1,5,14,1085.8093752276127,False
1,6,5,1557.3960851524712,False
1,6,6,1557.3960851524712,False
1,6,7,1557.3960851524712,False
1,6,8,1557.3960851524712,False
1,6,9,1557.3960851524712,False
1,6,10,1557.3960851524712,False
1,6,11,1557.3960851524712,False
1,6,12,1557.3960851524712,False
1,6,13,1557.3960851524712,False
1,6,14,1557.3960851524712,False
1,7,5,2145.191702104007,False
1,7,6,1379.3824897199893,False
1,7,7,859.2936863882792,False
1,7,8,1730.8001728752863,False
1,7,9,1203.0670736377897,False
1,7,10,384.86497006268803,False
1,7,11,2087.723950634756,False
1,7,12,6271.486826842944,False
1,7,13,2140.2725787681543,False
1,7,14,1985.8765089840779,False
