Timer,K_decision,Rejection_Threshold,Final_Error,Converged
1,1,5,3.407643250819148e-14,True
1,1,6,3.793260195561498e-14,True
1,1,7,3.793260195561498e-14,True
1,1,8,3.793260195561498e-14,True
1,1,9,3.793260195561498e-14,True
1,1,10,3.793260195561498e-14,True
1,1,11,3.793260195561498e-14,True
1,1,12,3.793260195561498e-14,True
1,1,13,3.793260195561498e-14,True
1,1,14,3.793260195561498e-14,True
1,1,15,3.793260195561498e-14,True
1,2,5,32.91892737126555,False
1,2,6,35.20330010489086,False
1,2,7,37.3305010142148,False
1,2,8,25.110069460816746,False
1,2,9,53.96690088850637,False
1,2,10,23.30591936629648,False
1,2,11,23.305919366299413,False
1,2,12,13.853678498579022,False
1,2,13,13.853678498579022,False
1,2,14,157.2186985508608,False
1,2,15,140.4866080740643,False
1,3,5,27.07104874709444,False
1,3,6,40.838702282960845,False
1,3,7,31.755714541790056,False
1,3,8,41.58117742845601,False
1,3,9,23.287980760707832,False
1,3,10,16.944740376805782,False
1,3,11,22.089737097435187,False
1,3,12,22.089737097434927,False
1,3,13,23.30591936629538,False
1,3,14,13.853678498579022,False
1,3,15,13.853678498579022,False
1,4,5,28.550102679897787,False
1,4,6,31.58353896622146,False
1,4,7,14.51565912754671,False
1,4,8,17.831222045164647,False
1,4,9,191.99532364849077,False
1,4,10,129.87225273162647,False
1,4,11,140.4866080744491,False
1,4,12,140.4866080744491,False
1,4,13,134.92768003747605,False
1,4,14,140.4866080744491,False
1,4,15,146.2635332893427,False
2,1,5,15.20633099984069,False
2,1,6,13.853678498579006,False
2,1,7,13.853678498579022,False
2,1,8,13.853678498579022,False
2,1,9,13.853678498579022,False
2,1,10,13.853678498579022,False
2,1,11,13.853678498579022,False
2,1,12,13.853678498579022,False
2,1,13,13.853678498579022,False
2,1,14,3.731599370168505e-12,True
2,1,15,1.5373729620568772e-12,True
2,2,5,36.4335937181339,False
2,2,6,13.853678498579022,False
2,2,7,157.21869855086683,False
2,2,8,152.27153551232632,False
2,2,9,152.27153551283195,False
2,2,10,152.27153551283186,False
2,2,11,152.27153551283186,False
2,2,12,152.27153551283186,False
2,2,13,152.27153551283186,False
2,2,14,152.2715355128319,False
2,2,15,152.2715355128319,False
2,3,5,26.556375010127105,False
2,3,6,13.853678498579022,False
2,3,7,149.77564691691094,False
2,3,8,129.57463822303848,False
2,3,9,146.26353328934263,False
2,3,10,152.2715355128319,False
2,3,11,152.2715355128319,False
2,3,12,152.2715355128319,False
2,3,13,152.2715355128319,False
2,3,14,152.2715355128319,False
2,3,15,152.2715355128319,False
2,4,5,129.87225273162645,False
2,4,6,140.4866080744491,False
2,4,7,140.4866080744491,False
2,4,8,152.27153551283186,False
2,4,9,152.2715355128319,False
2,4,10,152.2715355128319,False
2,4,11,152.2715355128319,False
2,4,12,152.2715355128319,False
2,4,13,152.2715355128319,False
2,4,14,152.2715355128319,False
2,4,15,152.2715355128319,False
3,1,5,20.345243113711312,False
3,1,6,23.305919366294145,False
3,1,7,23.30591936628739,False
3,1,8,3.117493601007525e-14,True
3,1,9,3.117493601007525e-14,True
3,1,10,3.674955604818067e-14,True
3,1,11,3.674955604818067e-14,True
3,1,12,3.674955604818067e-14,True
3,1,13,3.674955604818067e-14,True
3,1,14,3.552713678800501e-14,True
3,1,15,1.0669976843531407e-13,True
3,2,5,166.1718581700491,False
3,2,6,134.92768003747602,False
3,2,7,140.4866080744491,False
3,2,8,152.2715355128319,False
3,2,9,152.2715355128319,False
3,2,10,152.2715355128319,False
3,2,11,152.2715355128319,False
3,2,12,152.2715355128319,False
3,2,13,152.2715355128319,False
3,2,14,152.2715355128319,False
3,2,15,152.2715355128319,False
3,3,5,187.38061129601857,False
3,3,6,152.27153551283192,False
3,3,7,152.27153551283192,False
3,3,8,152.27153551283186,False
3,3,9,152.2715355128319,False
3,3,10,152.2715355128319,False
3,3,11,152.2715355128319,False
3,3,12,152.2715355128319,False
3,3,13,152.2715355128319,False
3,3,14,152.2715355128319,False
3,3,15,152.2715355128319,False
3,4,5,152.27153551283186,False
3,4,6,152.2715355128319,False
3,4,7,152.2715355128319,False
3,4,8,152.2715355128319,False
3,4,9,152.2715355128319,False
3,4,10,152.2715355128319,False
3,4,11,152.2715355128319,False
3,4,12,152.2715355128319,False
3,4,13,152.2715355128319,False
3,4,14,152.2715355128319,False
3,4,15,152.2715355128319,False
4,1,5,26.647615111970936,False
4,1,6,19.601183314874586,False
4,1,7,4.322062729257126e-14,True
4,1,8,4.322062729257126e-14,True
4,1,9,4.322062729257126e-14,True
4,1,10,4.322062729257126e-14,True
4,1,11,77.21076570632263,False
4,1,12,202.15192606600434,False
4,1,13,152.27153551283192,False
4,1,14,152.27153551283192,False
4,1,15,152.27153551283192,False
4,2,5,147.49025545574722,False
4,2,6,140.4866080744491,False
4,2,7,152.27153551283186,False
4,2,8,152.27153551283186,False
4,2,9,152.27153551283186,False
4,2,10,152.27153551283186,False
4,2,11,152.2715355128319,False
4,2,12,152.2715355128319,False
4,2,13,152.2715355128319,False
4,2,14,152.2715355128319,False
4,2,15,152.2715355128319,False
4,3,5,130.91621967300668,False
4,3,6,140.48660807444907,False
4,3,7,152.2715355128319,False
4,3,8,152.2715355128319,False
4,3,9,152.2715355128319,False
4,3,10,152.2715355128319,False
4,3,11,152.2715355128319,False
4,3,12,152.2715355128319,False
4,3,13,152.2715355128319,False
4,3,14,152.2715355128319,False
4,3,15,152.2715355128319,False
4,4,5,152.2715355128319,False
4,4,6,152.2715355128319,False
4,4,7,152.2715355128319,False
4,4,8,152.2715355128319,False
4,4,9,152.2715355128319,False
4,4,10,152.2715355128319,False
4,4,11,152.2715355128319,False
4,4,12,152.2715355128319,False
4,4,13,152.2715355128319,False
4,4,14,152.2715355128319,False
4,4,15,152.2715355128319,False
5,1,5,23.30591936629978,False
5,1,6,13.853678498579022,False
5,1,7,1.1176545875567324e-12,True
5,1,8,3.534905478043342e-14,True
5,1,9,4.9227844771419234e-14,True
5,1,10,1.6784457288590766e-13,True
5,1,11,186.31688144593647,False
5,1,12,152.27153551283192,False
5,1,13,152.27153551283192,False
5,1,14,152.27153551283192,False
5,1,15,152.27153551283195,False
5,2,5,134.92768003747605,False
5,2,6,134.92768003747605,False
5,2,7,152.2715355128319,False
5,2,8,152.2715355128319,False
5,2,9,152.2715355128319,False
5,2,10,152.2715355128319,False
5,2,11,152.2715355128319,False
5,2,12,152.2715355128319,False
5,2,13,152.2715355128319,False
5,2,14,152.2715355128319,False
5,2,15,152.2715355128319,False
5,3,5,152.27153551283192,False
5,3,6,152.27153551283192,False
5,3,7,152.2715355128319,False
5,3,8,152.2715355128319,False
5,3,9,152.2715355128319,False
5,3,10,152.2715355128319,False
5,3,11,152.2715355128319,False
5,3,12,152.2715355128319,False
5,3,13,152.2715355128319,False
5,3,14,152.2715355128319,False
5,3,15,152.2715355128319,False
5,4,5,152.2715355128319,False
5,4,6,152.2715355128319,False
5,4,7,152.2715355128319,False
5,4,8,152.2715355128319,False
5,4,9,152.2715355128319,False
5,4,10,152.2715355128319,False
5,4,11,152.2715355128319,False
5,4,12,152.2715355128319,False
5,4,13,152.2715355128319,False
5,4,14,152.2715355128319,False
5,4,15,152.2715355128319,False
6,1,5,13.853678498579022,False
6,1,6,13.853678498579022,False
6,1,7,4.248427651667938e-14,True
6,1,8,4.3600062556897613e-13,True
6,1,9,165.03854023774792,False
6,1,10,140.4866080744491,False
6,1,11,152.2715355128319,False
6,1,12,152.2715355128319,False
6,1,13,152.27153551283192,False
6,1,14,152.27153551283192,False
6,1,15,152.27153551283192,False
6,2,5,140.4866080744491,False
6,2,6,152.27153551283192,False
6,2,7,152.2715355128319,False
6,2,8,152.2715355128319,False
6,2,9,152.2715355128319,False
6,2,10,152.2715355128319,False
6,2,11,152.2715355128319,False
6,2,12,152.2715355128319,False
6,2,13,152.2715355128319,False
6,2,14,152.2715355128319,False
6,2,15,152.2715355128319,False
6,3,5,134.92768003747597,False
6,3,6,152.27153551283197,False
6,3,7,152.2715355128319,False
6,3,8,152.2715355128319,False
6,3,9,152.2715355128319,False
6,3,10,152.2715355128319,False
6,3,11,152.2715355128319,False
6,3,12,152.2715355128319,False
6,3,13,152.2715355128319,False
6,3,14,152.2715355128319,False
6,3,15,152.2715355128319,False
6,4,5,152.2715355128319,False
6,4,6,152.2715355128319,False
6,4,7,152.2715355128319,False
6,4,8,152.2715355128319,False
6,4,9,152.2715355128319,False
6,4,10,152.2715355128319,False
6,4,11,152.2715355128319,False
6,4,12,152.2715355128319,False
6,4,13,152.2715355128319,False
6,4,14,152.2715355128319,False
6,4,15,152.2715355128319,False
